User,Date,Time in Locked Mode,,,,,,,
,14-Apr-13,11.85333333,,,,,,,
,14-May-13,10.28694444,,,,,,,
,15-Apr-13,10.81027778,,,,,,,
,15-May-13,13.63777778,,,,,,,
,16-Apr-13,12.73194444,,,,,,,
,16-May-13,10.00916667,,,,,,,
,17-Apr-13,6.214166667,,,,,,,
,17-May-13,13.39666667,,,,,,,
,18-Apr-13,6.034166667,,,,,,,
,18-May-13,18.04805556,,,,,,,
,19-Apr-13,6.046666667,,,,,,,
,19-May-13,14.28694444,,,,,,,
,20-Apr-13,7.998333333,,,,,,,
,20-May-13,14.50833333,,,,,,,
,21-Apr-13,7.446666667,,,,,,,
,21-May-13,8.782777778,,,,,,,
,22-Apr-13,11.18805556,,,,,,,
,22-May-13,10.94666667,,,,,,,
,23-Apr-13,9.590555556,,,,,,,
,23-May-13,7.487222222,,,,,,,
,24-Apr-13,12.58611111,,,,,,,
,24-May-13,16.965,,,,,,,
,25-Apr-13,4.679444444,,,,,,,
,25-May-13,9.918333333,,,,,,,
,26-Apr-13,9.144444444,,,,,,,
,26-May-13,2.625833333,,,,,,,
,27-Apr-13,6.338055556,,,,,,,
,27-Mar-13,13.50805556,,,,,,,
,27-May-13,9.197777778,,,,,,,
,28-Apr-13,8.161666667,,,,,,,
,28-Mar-13,8.611111111,,,,,,,
,28-May-13,15.26777778,,,,,,,
,29-Apr-13,7.563611111,,,,,,,
,29-Mar-13,13.23861111,,,,,,,
,30-Apr-13,7.109722222,,,,,,,
,30-Mar-13,17.81111111,,,,,,,
,31-Mar-13,13.03694444,,,,,,,
9,1-May-13,23.24333333,,,,,,,
,2-Apr-13,13.46055556,,,,,,,
,2-May-13,19.51333333,,,,,,,
,3-Apr-13,18.60444444,,,,,,,
,3-May-13,22.135,,,,,,,
,4-Apr-13,8.588888889,,,,,,,
,4-May-13,8.983611111,,,,,,,
,5-Apr-13,4.206111111,,,,,,,
,6-Apr-13,23.69777778,,,,,,,
,6-May-13,10.03722222,,,,,,,
,7-Apr-13,22.33777778,,,,,,,
,7-May-13,22.01527778,,,,,,,
,8-Apr-13,7.633611111,,,,,,,
,8-May-13,18.91083333,,,,,,,
,9-Apr-13,19.94055556,,,,,,,
,9-May-13,18.42583333,,,,,,,
,10-Apr-13,26.05222222,,,,,,,
,10-May-13,21.47361111,,,,,,,
,11-Apr-13,4.246388889,,,,,,,
,11-May-13,19.15833333,,,,,,,
,12-Apr-13,8.831944444,,,,,,,
,12-May-13,18.65277778,,,,,,,
,13-Apr-13,16.5225,,,,,,,
,13-May-13,2.949722222,,,,,,,
,14-Apr-13,18.07,,,,,,,
,14-May-13,16.85833333,,,,,,,
,15-Apr-13,4.122222222,,,,,,,
,15-May-13,14.93055556,,,,,,,
,16-Apr-13,19.03,,,,,,,
,16-May-13,11.075,,,,,,,
,17-Apr-13,12.16833333,,,,,,,
,17-May-13,12.49611111,,,,,,,
,18-Apr-13,23.09722222,,,,,,,
,19-Apr-13,20.89555556,,,,,,,
,19-May-13,22.45138889,,,,,,,
,20-Apr-13,22.57638889,,,,,,,
,20-May-13,9.014722222,,,,,,,
,21-Apr-13,23.03361111,,,,,,,
,21-May-13,9.504444444,,,,,,,
,22-Apr-13,14.32777778,,,,,,,
,22-May-13,15.83111111,,,,,,,
,23-Apr-13,15.87333333,,,,,,,
,23-May-13,20.05027778,,,,,,,
,24-Apr-13,22.58694444,,,,,,,
,24-May-13,9.161388889,,,,,,,
,25-Apr-13,5.271944444,,,,,,,
,25-May-13,7.813611111,,,,,,,
,26-Apr-13,11.42416667,,,,,,,
,26-May-13,14.38472222,,,,,,,
,27-Mar-13,16.80305556,,,,,,,
,27-May-13,9.973333333,,,,,,,
,28-Apr-13,14.53638889,,,,,,,
,28-Mar-13,15.06694444,,,,,,,
,28-May-13,9.883055556,,,,,,,
,29-Apr-13,18.7025,,,,,,,
,29-Mar-13,16.71277778,,,,,,,
,29-May-13,12.97666667,,,,,,,
,30-Apr-13,17.75861111,,,,,,,
,30-Mar-13,6.241111111,,,,,,,
,30-May-13,3.027222222,,,,,,,
,31-May-13,3.208611111,,,,,,,
10,1-Apr-13,20.26166667,,,,,,,
,1-Jun-13,4.086666667,,,,,,,
,1-May-13,11.70722222,,,,,,,
,2-Apr-13,14.66333333,,,,,,,
,2-May-13,19.27055556,,,,,,,
,3-Apr-13,19.84722222,,,,,,,
,3-May-13,6.285833333,,,,,,,
,4-Apr-13,15.61333333,,,,,,,
,4-May-13,8.391388889,,,,,,,
,5-Apr-13,18.07638889,,,,,,,
,5-May-13,6.560833333,,,,,,,
,6-Apr-13,18.79777778,,,,,,,
,6-May-13,4.634166667,,,,,,,
,7-Apr-13,18.44222222,,,,,,,
,7-May-13,18.83111111,,,,,,,
,8-Apr-13,16.51222222,,,,,,,
,8-May-13,7.892222222,,,,,,,
,9-Apr-13,13.32083333,,,,,,,
,9-May-13,8.686111111,,,,,,,
,10-Apr-13,20.86694444,,,,,,,
,10-May-13,7.398888889,,,,,,,
,11-Apr-13,11.25861111,,,,,,,
,11-May-13,4.034444444,,,,,,,
,12-Apr-13,18.81972222,,,,,,,
,12-May-13,9.092222222,,,,,,,
,13-Apr-13,13.77777778,,,,,,,
,13-May-13,18.51666667,,,,,,,
,14-Apr-13,16.82055556,,,,,,,
,14-May-13,7.569722222,,,,,,,
,15-Apr-13,20.74861111,,,,,,,
,15-May-13,13.35333333,,,,,,,
,16-Apr-13,12.60555556,,,,,,,
,16-May-13,7.695555556,,,,,,,
,17-Apr-13,3.565833333,,,,,,,
,17-May-13,16.73416667,,,,,,,
,18-Apr-13,13.97416667,,,,,,,
,18-May-13,7.671111111,,,,,,,
,19-Apr-13,4.810555556,,,,,,,
,19-May-13,8.346388889,,,,,,,
,20-Apr-13,14.21333333,,,,,,,
,20-May-13,10.59583333,,,,,,,
,21-Apr-13,15.54222222,,,,,,,
,21-May-13,6.601388889,,,,,,,
,22-Apr-13,18.58361111,,,,,,,
,22-May-13,9.388611111,,,,,,,
,23-Apr-13,16.72472222,,,,,,,
,23-May-13,10.08333333,,,,,,,
,24-Apr-13,21.38388889,,,,,,,
,24-May-13,5.96,,,,,,,
,25-Apr-13,16.015,,,,,,,
,25-May-13,15.29861111,,,,,,,
,26-Apr-13,18.2925,,,,,,,
,26-May-13,4.2675,,,,,,,
,27-Apr-13,2.314444444,,,,,,,
,27-Mar-13,15.06722222,,,,,,,
,27-May-13,15.86638889,,,,,,,
,28-Apr-13,3.532777778,,,,,,,
,28-Mar-13,13.47777778,,,,,,,
,28-May-13,20.91638889,,,,,,,
,29-Apr-13,7.397222222,,,,,,,
,29-Mar-13,14.87833333,,,,,,,
,29-May-13,13.25444444,,,,,,,
,30-Apr-13,9.709444444,,,,,,,
,30-Mar-13,16.3075,,,,,,,
,30-May-13,5.758888889,,,,,,,
